Lower tier local authorities Code,Accommodation type (5 categories),Observation
E07000039,Whole house or bungalow: Terraced,7743
E07000039,"Flat, maisonette or apartment",2686
E07000039,A caravan or other mobile or temporary structure,369
E07000040,Whole house or bungalow: Detached,25712
E07000040,Whole house or bungalow: Semi-detached,18114
E07000040,Whole house or bungalow: Terraced,12997
E07000040,"Flat, maisonette or apartment",9542
E07000040,A caravan or other mobile or temporary structure,420
E07000041,Whole house or bungalow: Detached,7943
E07000041,Whole house or bungalow: Semi-detached,14140
E07000041,Whole house or bungalow: Terraced,16458
E07000041,"Flat, maisonette or apartment",13678
E07000041,A caravan or other mobile or temporary structure,335
E07000042,Whole house or bungalow: Detached,13703
E07000042,Whole house or bungalow: Semi-detached,10433
E07000042,Whole house or bungalow: Terraced,7870
E07000042,"Flat, maisonette or apartment",3384
E07000042,A caravan or other mobile or temporary structure,243
E07000043,Whole house or bungalow: Detached,17051
E07000043,Whole house or bungalow: Semi-detached,10177
E07000043,Whole house or bungalow: Terraced,9471
E07000043,"Flat, maisonette or apartment",6084
E07000043,A caravan or other mobile or temporary structure,414
E07000044,Whole house or bungalow: Detached,15663
E07000044,Whole house or bungalow: Semi-detached,11029
E07000044,Whole house or bungalow: Terraced,8215
E07000044,"Flat, maisonette or apartment",4132
E07000044,A caravan or other mobile or temporary structure,296
E07000045,Whole house or bungalow: Detached,22214
E07000045,Whole house or bungalow: Semi-detached,15003
E07000045,Whole house or bungalow: Terraced,13183
E07000045,"Flat, maisonette or apartment",8346
E07000045,A caravan or other mobile or temporary structure,1091
E07000046,Whole house or bungalow: Detached,13191
E07000046,Whole house or bungalow: Semi-detached,6974
E07000046,Whole house or bungalow: Terraced,7037
E07000046,"Flat, maisonette or apartment",3031
E07000046,A caravan or other mobile or temporary structure,221
E07000047,Whole house or bungalow: Detached,10702
E07000047,Whole house or bungalow: Semi-detached,6570
E07000047,Whole house or bungalow: Terraced,4948
E07000047,"Flat, maisonette or apartment",2442
E07000047,A caravan or other mobile or temporary structure,156
E07000061,Whole house or bungalow: Detached,7630
E07000061,Whole house or bungalow: Semi-detached,9908
E07000061,Whole house or bungalow: Terraced,10879
E07000061,"Flat, maisonette or apartment",17160
E07000061,A caravan or other mobile or temporary structure,32
E07000062,Whole house or bungalow: Detached,7732
E07000062,Whole house or bungalow: Semi-detached,8836
E07000062,Whole house or bungalow: Terraced,9155
E07000062,"Flat, maisonette or apartment",14647
E07000062,A caravan or other mobile or temporary structure,83
E07000063,Whole house or bungalow: Detached,15290
E07000063,Whole house or bungalow: Semi-detached,11924
E07000063,Whole house or bungalow: Terraced,7923
E07000063,"Flat, maisonette or apartment",8208
