Local authority code,Total annual income (£)
E08000032,51000
E08000032,28700
E08000032,34300
E08000032,49200
E08000032,40300
E08000032,40300
E08000032,39900
E08000032,49600
E08000032,47200
E08000032,40200
E08000032,37600
E08000032,32100
E08000032,45400
E08000032,41200
E08000032,36000
E08000032,36400
E08000032,32500
E08000032,30700
E08000032,34500
E08000032,38100
E08000032,35900
E08000032,38800
E08000032,36000
E08000032,30800
E08000032,28100
E08000032,30400
E08000032,34000
E08000032,30900
E08000032,28600
E08000032,26300
E08000032,35100
E08000032,29400
E08000032,27300
E08000032,38200
E08000032,27400
E08000032,26400
E08000032,29800
E08000032,35300
E08000032,27300
E08000032,35100
E08000032,30000
E08000032,28300
E08000032,25400
E08000032,29400
E08000032,33700
E08000032,34900
E08000032,31000
E08000032,38000
E08000032,40100
E08000032,33300
E08000032,37400
E08000032,34000
E08000033,37200
E08000033,29000
E08000033,43900
E08000033,45200
E08000033,30800
E08000033,28500
E08000033,38300
E08000033,29500
E08000033,39300
E08000033,30500
E08000033,46700
E08000033,25900
E08000033,34300
E08000033,28600
E08000033,39300
E08000033,39200
E08000033,34900
E08000033,35700
E08000033,35900
E08000033,36800
E08000033,45700
E08000033,35700
