outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh
HX4,66297012.70092437,13285.97,11471.506402609677
HX5,50264448.96314002,11277.641678963433,9473.425196849515
HX6,93373863.18452111,11770.309237932826,9813.512259139381
HX7,69834395.42796452,12065.375851410596,10160.601113885541
IG1,250446044.18384197,13532.503603168638,11717.571361484333
IG10,174250864.8692178,13148.031756524395,10810.378762900833
IG11,183631430.9767646,11112.340755023575,9681.383568624293
IG2,124369790.56476851,14290.450484289155,12940.482970158853
IG3,159853590.0414705,14593.17053509864,13049.079638958185
IG4,49018810.16386358,16787.26,15653.395401170153
IG5,87264271.98692526,15280.03361704172,13958.576866588215
IG6,137083303.65381694,12607.679909299819,11264.974172983482
IG7,119921696.3163496,14757.777050990597,11680.910669668196
IG8,199715696.2987516,14868.649218191751,13011.41983634304
IG9,74130016.08556353,14346.819447564065,12484.888449281061
IP1,161598705.09560376,10402.903636899946,8915.896645277526
IP10,14295732.456249757,13273.660590761148,11462.723623221744
IP11,136846542.7984933,10108.327876975425,8838.811080296042
IP12,76942857.42745489,11566.875740747879,9746.818969055981
