outcode,elec_total_cons_kwh,elec_mean_cons_kwh,elec_median_cons_kwh
GL50,38330776.88899977,3180.1855877374733,2251.300000000474
GL51,71939621.7,3042.101729660035,2399.3999999990283
GL52,73450948.52900031,3216.031723324152,2468
GL53,33313990.58600006,3553.4923291733394,2684.5
GL54,62241044.206999786,4980.478851484339,3184.7999999999756
GL55,12008020.012000008,3897.4423927296357,2736.0999999998457
GL56,24566904.823000032,4577.399817961624,2844.3000000002635
GL6,47949669.009000085,4218.322249406183,2958.5
GL7,96919906.59400027,4401.448982470493,3005.3999999989546
GL8,19168428.25500001,4078.388990425534,2696.9000000002275
GL9,6485083.25,5764.518443555556,3864.6000000000504
GU1,52858138.63,3730.2850124911715,2821.799999999962
GU10,50595944.61700005,5006.525293587973,3505.6
GU11,32836214.56700003,3135.919641581514,2419.800000000455
GU12,44861521.47100002,3162.6028530842455,2540.100000000674
GU14,77539547.55600034,3251.5430685620972,2636
GU15,58870683.82200003,3996.1094095845797,3114
GU16,34526964.680000074,3527.839448247683,2858.300000000482
GU17,16760714.781999985,3631.79,2953.599999999762
GU18,11134002.144999988,3856.5992881884267,3132
GU19,9492532.148000019,3421.965446286957,2673.9000000001247
GU2,41249454.629000045,3440.6084434898694,2774.1000000006056
GU20,8927772.74,4812.815493261455,3313.7000000001112
GU21,76118122.61099999,3666.223032992967,2868.5
GU22,62936842.22600028,4198.588540760526,3242
GU23,13622227.742000008,4566.620094535705,3223.8
GU24,31496221.379999988,4376.2986494372635,3172.699999999577
GU25,17207453.86399997,6847.3751945881295,3941.3000000000025
GU26,15230251.223999986,4597.117785692722,3351.9000000002065
GU27,36627461.763999976,4694.62,3160.8000000004467
GU28,18705139.224000007,5685.452651671734,3868.5
GU29,21262488.043000005,4213.73,2730.300000000211
GU3,21624474.241000008,4462.334758770121,3037.3000000002457
GU30,20436150.09,4329.692815042373,3007.599999999757
GU31,22568703.332000036,4362.788194857923,2899.300000000255
GU32,26241957.11900001,4728.280561981984,3203.8000000003317
GU33,16978094.821000025,4657.913531138553,3249.099999999783
GU34,61384713.150999874,4065.212791456945,2905.8999999991806
